Store ID,Scenario,Product,Product_Name,ProductID,Entity Found,Submit Status,MissingChannels
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Double Tender™ Burger Combo,30730,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,3 Piece Box,30731,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,3 Piece Box,31105,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Fillet Piece,30800,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Large Chips,31005,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Burger,31040,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger Stacker® Burger,31041,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"Original Supercharged Slider ",31101,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Bacon & Cheese Burger,31291,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Bacon & Cheese Burger Combo,31293,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,3 Wicked Wings® Combo,31481,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,6 Wicked Wings® Combo,31482,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Favourites Box,31551,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Favourites Box,32157,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,6 Pieces of Chicken,31642,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Regular Popcorn Chicken® Combo,31698,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Maxi Popcorn Chicken® Combo,31699,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,5 Original Tenders™ Combo,31700,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,My Bucket,31836,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Original Tenders™ Crunch Bowl,31882,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Crunch Bowl,31883,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Crunchy Jalapeno Slaw,31884,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Original Crunch Twister® ,31886,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Crunch Burger™,31887,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Crunch Twister®  ,31888,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Original Crunch Twister® Combo,31898,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"Zinger® Crunch Burger™ Combo ",31900,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Crunch Bowl Combo,31916,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Original Tenders™ Crunch Bowl Combo,31917,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,10 Wicked Wings® Combo,32062,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"6 Pieces Hot & Crispy™ ",32164,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,3 Pieces Hot & Crispy™,32170,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"3 Pieces Combo Hot & Crispy™ ",32171,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"6 Pieces Combo Hot & Crispy™ ",32172,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Burger Box Hot & Crispy™,32190,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,Zinger® Burger Box Hot & Crispy™,32374,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"Zinger Stacker® Burger Box Hot & Crispy™ ",32208,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"Zinger Stacker® Burger Box Hot & Crispy™ ",32211,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"Zinger® Bacon & Cheese Burger Box Hot & Crispy™ ",32209,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"Zinger® Bacon & Cheese Burger Box Hot & Crispy™ ",32212,YES,Success Lookup Found: YES,
"KFC St Clair, KFC Modbury, KFC Minchinbury, KFC Plumpton, KFC 401 Swanston Street",Delivery 1,OLD Products,"Zinger® Crunch Burger™ Box Hot & Crispy™ ",32210,YES,Success Lookup Found: YES,
