Scenario,Product,Product_Name,ProductID,Status
Scenario 1,NEW,Double Chocolate Mousse,32911,Success
Scenario 1,NEW,Original Tenders™ Crunch Bowl,32912,Success
Scenario 1,NEW,Zinger® Crunch Bowl,32913,Success
Scenario 1,NEW,Go Bucket® 2 Wicked Wings®,32914,Success
Scenario 1,NEW,Go Bucket® 1 Original Tender™,32915,Success
Scenario 1,NEW,Go Bucket® Popcorn Chicken®,32916,Success
Scenario 1,NEW,Go Bucket® 3 Nuggets,32917,Success
Scenario 1,NEW,"Zinger® Crunch Burger™ Combo ",32942,Success
Scenario 1,NEW,Original Crunch Twister® Combo,32946,Success
Scenario 1,NEW,"Zinger® Crunch Twister® Combo ",32947,Success
Scenario 1,NEW,Zinger® Crunch Bowl Combo,32948,Success
Scenario 1,NEW,Original Tenders™ Crunch Bowl Combo,32949,Success
Scenario 1,NEW,Kids Meal with BBQ Slider,32950,Success
Scenario 1,NEW,Kids Meal with Nuggets,32951,Success
Scenario 1,NEW,Kids Meal with Snack Popcorn Chicken®,32952,Success
Scenario 1,NEW,Go Bucket® Hot & Crispy™,33216,Success
Scenario 1,NEW,4 Dipping Sauces,33218,Success
Scenario 1,NEW,BBQ Dip,43819,Not Found
Scenario 1,NEW,Supercharged Dip,43820,Not Found
Scenario 1,NEW,Aioli Dip,43823,Not Found
Scenario 1,NEW,Jalapeno Mayo Dip,44003,Not Found
Scenario 1,NEW,Large Coleslaw(4x110g),33217,Success
Scenario 1,NEW,Sweet & Sour Dip,43822,Not Found
Scenario 1,NEW,Sweet Chilli Dip,43821,Not Found
Scenario 1,NEW,Tomato Dip,43810,Not Found
Scenario 1,NEW,Regular Pepsi Max^,43829,Not Found
Scenario 1,NEW,Large Pepsi Max^,43830,Not Found
Scenario 1,NEW,Large Pepsi Max^,43848,Not Found
Scenario 1,NEW,1.25L Pepsi Max^,43831,Not Found
Scenario 1,NEW,Regular Pepsi^,43811,Not Found
Scenario 1,NEW,Regular Pepsi^,43849,Not Found
Scenario 1,NEW,LargePepsi^,43827,Not Found
Scenario 1,NEW,LargePepsi^,43850,Not Found
Scenario 1,NEW,1.25L Pepsi^,43828,Not Found
Scenario 1,NEW,Regular 7Up,43832,Not Found
Scenario 1,NEW,Large 7Up,43833,Not Found
Scenario 1,NEW,1.25L 7Up,43834,Not Found
